benchmark,gc_config,n_pauses,min_ms,mean_ms,std_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,p99_9_ms,max_ms
chi-square,g1gc,45,0.275,15.7299,23.5525,10.527,13.882,25.7906,41.8732,118.0227,135.5802,137.531
chi-square,shenandoah,45,0.068,0.3057,0.2769,0.172,0.487,0.753,0.8136,1.0516,1.1285,1.137
chi-square,zgc_nogen,30,0.008,0.0205,0.0135,0.017,0.022,0.0376,0.043,0.065,0.0731,0.074
chi-square,zgc_gen,66,0.013,0.0263,0.012,0.024,0.03,0.035,0.0425,0.0704,0.0961,0.099
chi-square,g1gc_pause50,49,0.196,14.0136,20.0541,9.596,14.015,24.5736,34.1652,102.1557,116.9772,118.624
chi-square,g1gc_threads2,49,0.152,15.6955,23.7157,9.239,14.677,34.49,35.901,120.2716,137.1218,138.994
dec-tree,g1gc,50,0.225,11.3923,21.2047,6.2535,9.8693,12.1865,27.6377,111.5565,113.8295,114.082
dec-tree,shenandoah,44,0.066,0.322,0.2824,0.1945,0.5742,0.7809,0.855,0.9612,0.9952,0.999
dec-tree,zgc_nogen,27,0.008,0.017,0.0079,0.016,0.0195,0.0256,0.0308,0.0409,0.0437,0.044
dec-tree,zgc_gen,54,0.012,0.0227,0.0053,0.023,0.026,0.03,0.0317,0.0355,0.0359,0.036
dec-tree,g1gc_pause50,52,0.172,12.2884,23.6793,6.2655,10.4895,14.0784,36.9701,121.462,142.4176,144.746
dec-tree,g1gc_threads2,50,0.225,11.8219,20.1273,8.2415,10.0635,14.3284,33.7407,104.4169,106.0001,106.176
dotty,g1gc,40,0.101,18.8155,19.2743,15.6865,27.383,36.4741,41.6765,86.6856,89.5975,89.921
dotty,shenandoah,24,0.052,0.2442,0.2205,0.13,0.4332,0.5463,0.6119,0.7855,0.8291,0.834
dotty,zgc_nogen,21,0.009,0.014,0.0054,0.012,0.017,0.019,0.019,0.0294,0.0317,0.032
dotty,zgc_gen,44,0.01,0.0228,0.0133,0.0195,0.024,0.029,0.0486,0.075,0.0885,0.09
dotty,g1gc_pause50,49,0.134,15.9414,15.9338,13.99,21.922,29.8328,37.4692,75.1948,77.7186,77.999
dotty,g1gc_threads2,41,0.124,17.3076,17.9361,15.92,22.005,31.042,34.259,84.0282,86.2285,86.473
finagle-http,g1gc,171,0.207,3.9805,7.7092,2.434,3.589,5.559,7.111,34.9227,78.6209,82.883
finagle-http,shenandoah,60,0.04,0.2739,0.2057,0.199,0.4133,0.5962,0.671,0.8041,0.8859,0.895
finagle-http,zgc_nogen,36,0.009,0.0326,0.0668,0.018,0.0275,0.034,0.052,0.2967,0.4095,0.422
finagle-http,zgc_gen,62,0.013,0.0296,0.0185,0.025,0.03,0.037,0.0467,0.1151,0.1294,0.131
finagle-http,g1gc_pause50,171,0.189,3.7255,6.1458,2.265,3.208,5.019,7.69,33.5543,52.7427,52.75
finagle-http,g1gc_threads2,161,0.143,4.1367,7.2389,2.3,3.252,6.218,7.699,35.1322,65.9572,68.554
movie-lens,g1gc,368,0.156,7.6523,15.9835,5.481,8.0295,10.3829,12.9112,63.7979,166.3653,169.262
movie-lens,shenandoah,164,0.087,0.4927,1.2395,0.2415,0.6298,0.9395,1.1453,1.7553,13.4612,15.684
movie-lens,zgc_nogen,138,0.009,0.0233,0.0155,0.018,0.0288,0.041,0.0482,0.0823,0.1154,0.119
movie-lens,zgc_gen,146,0.012,0.0264,0.0146,0.023,0.028,0.039,0.0485,0.0836,0.1327,0.141
movie-lens,g1gc_pause50,429,0.148,7.1829,13.9373,5.484,8.313,10.3884,12.6968,27.6044,154.7378,165.365
movie-lens,g1gc_threads2,403,0.164,7.069,13.9573,5.492,8.245,9.7526,11.2079,27.2464,150.117,151.29
page-rank,g1gc,211,0.154,46.1327,92.0048,5.209,44.3895,132.449,212.6735,407.7184,627.4713,667.693
page-rank,shenandoah,91,0.039,0.3862,0.41,0.201,0.5555,1.051,1.138,1.8755,2.2198,2.258
page-rank,zgc_nogen,108,0.009,0.0274,0.0171,0.023,0.032,0.0446,0.0519,0.0664,0.1483,0.158
page-rank,zgc_gen,139,0.01,0.0371,0.0183,0.034,0.041,0.0592,0.0834,0.099,0.1111,0.113
page-rank,g1gc_pause50,272,0.129,39.5769,84.2826,24.365,42.746,70.4824,112.0434,484.1606,761.041,849.813
page-rank,g1gc_threads2,199,0.186,48.8889,94.0332,4.376,49.5585,158.8892,264.1307,466.5722,500.0413,500.68
philosophers,g1gc,151,1.037,2.0605,2.8198,1.414,1.8085,2.561,3.148,17.651,23.0966,23.73
philosophers,shenandoah,45,0.013,0.2184,0.1985,0.116,0.38,0.5324,0.6076,0.664,0.6676,0.668
philosophers,zgc_nogen,36,0.008,0.0155,0.0051,0.015,0.0192,0.0225,0.0232,0.0259,0.0269,0.027
philosophers,zgc_gen,48,0.009,0.0228,0.0082,0.02,0.0267,0.034,0.0383,0.0447,0.0468,0.047
philosophers,g1gc_pause50,139,1.09,2.0929,1.9806,1.5,1.9595,3.0218,4.4738,12.5022,16.2798,16.778
philosophers,g1gc_threads2,158,1.004,1.8172,2.0887,1.369,1.6015,2.3337,2.9054,14.0867,18.7942,19.076
scala-kmeans,g1gc,6,2.752,18.9007,15.5077,16.654,32.754,36.8035,38.1407,39.2106,39.4513,39.478
scala-kmeans,shenandoah,12,0.046,0.2362,0.2053,0.125,0.4482,0.5237,0.5735,0.6171,0.6269,0.628
scala-kmeans,zgc_nogen,12,0.007,0.0122,0.004,0.01,0.016,0.0178,0.0184,0.0189,0.019,0.019
scala-kmeans,zgc_gen,29,0.008,0.0198,0.0141,0.016,0.021,0.0282,0.0302,0.0728,0.0874,0.089
scala-kmeans,g1gc_pause50,8,1.234,13.4187,14.6428,3.406,27.6287,34.1845,35.5897,36.7139,36.9669,36.995
scala-kmeans,g1gc_threads2,6,2.94,19.1815,15.8467,17.0785,33.7533,37.1335,38.2212,39.0915,39.2872,39.309
