gcLogFile; zgc_gen_1000M.log; -
totalHeapAllocMax; 1,000; M
totalHeapUsedMax; 706; M
totalHeapUsedMaxpc; 67.2; %
totalTenuredAllocMax; 0; M
totalTenuredUsedMax; 0; M
totalTenuredUsedMaxpc; 0.0; %
totalYoungAllocMax; 0; M
totalYoungUsedMax; 0; M
totalYoungUsedMaxpc; 0.0; %
totalPermAllocMax; 0; M
totalPermUsedMax; 0; M
totalPermUsedMaxpc; 0.0; %
footprintAfterFullGC; 0; M
slopeAfterFullGC; 0; M/s
freedMemoryByFullGC; 0; M
avgFreedMemoryByFullGC; 0; M/coll
avgFreedMemoryByFullGCσ; 0; M
avgFreedMemoryByFullGCisSig; false; bool
footprintAfterGC; 233.743; M
slopeAfterGC; 17.203; M/s
freedMemoryByGC; 4,265; M
avgFreedMemoryByGC; 82.019; M/coll
avgRelativePostGCInc; 3,349.160; K/coll
avgPromotion; 0; M
promotionTotal; 0; M
avgPause; 0.00005; s
minPause; 0.00002; s
maxPause; 0.00020; s
avgGCPause; 0.00005; s
avgFullGCPause; 0; s
accumPause; 0.00000; s
fullGCPause; 0; s
fullGCPausePc; 0.0; %
gcPause; 0.00000; s
gcPausePc; 100.0; %
footprint; 1,000; M
freedMemory; 4,265; M
throughput; 99.93; %
totalTime; 19; s
freedMemoryPerMin; 13,468.421; M/min
gcPerformance; 3,531,491.657; M/s
fullGCPerformance; 0; M/s
