gcLogFile; zgc_gen.log; -
totalHeapAllocMax; -2,199,023,255,552; B
totalHeapUsedMax; -2,199,023,255,552; B
totalHeapUsedMaxpc; 100.0; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; n/a; M
totalPermUsedMax; n/a; M
totalPermUsedMaxpc; n/a; %
footprintAfterFullGC; n.a.; M
slopeAfterFullGC; n.a.; M/s
freedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGC; n.a.; M
avgFreedMemoryByFullGCσ; n.a.; M
avgFreedMemoryByFullGCisSig; n.a.; bool
footprintAfterGC; n.a.; M
slopeAfterGC; n.a.; M/s
freedMemoryByGC; n.a.; M
avgFreedMemoryByGC; n.a.; M/coll
avgRelativePostGCInc; n.a.; M/coll
avgPromotion; n.a.; M
promotionTotal; n.a.; M
avgPause; n.a.; s
minPause; n.a.; s
maxPause; n.a.; s
avgGCPause; n.a.; s
avgFullGCPause; n.a.; s
accumPause; 0; s
fullGCPause; 0; s
fullGCPausePc; NaN; %
gcPause; 0; s
gcPausePc; NaN; %
footprint; -2,199,023,255,552; B
freedMemory; 0; B
throughput; ∞; %
totalTime; 0; s
freedMemoryPerMin; -0; B/min
gcPerformance; n.a.; M/s
fullGCPerformance; n.a.; M/s
