gcLogFile; g1gc.log; -
totalHeapAllocMax; 2,218; M
totalHeapUsedMax; 1,490; M
totalHeapUsedMaxpc; 67.2; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 109.333; M
avgfootprintAfterFullGCσ; 68.705; M
avgfootprintAfterFullGCisSig; false; bool
freedMemoryByFullGC; 2,213; M
freedMemoryByFullGCpc; 8.7; %
avgFreedMemoryByFullGC; 737.667; M/coll
avgFreedMemoryByFullGCσ; 126.895; M/coll
avgFreedMemoryByFullGCisSig; true; bool
slopeAfterFullGC; 3,386.625; K/s
avgRelativePostFullGCInc; 59.5; M/coll
avgfootprintAfterGC; 210.938; M
avgfootprintAfterGCσ; 210.827; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 31.495; M/s
avgRelativePostGCInc; 7,512.586; K/coll
freedMemoryByGC; 23,173; M
freedMemoryByGCpc; 91.3; %
avgFreedMemoryByGC; 111.409; M/coll
avgFreedMemoryByGCσ; 166.04; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -166,872,263; B
promotionTotal; -22,360,883,200; B
pauseCount; 211; -
avgPauseIsSig; false; bool
avgPause; 0.04613; s
avgPauseσ; 0.09222; s
minPause; 0.00015; s
maxPause; 0.66769; s
gcPauseCount; 208; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.04548; s
avgGCPauseσ; 0.09263; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; false; bool
avgFullGCPause; 0.09134; s
avgFullGCPauseσ; 0.04323; s
minFullGCPause; 0.04169; s
maxFullGCPause; 0.12063; s
accumPause; 9.73; s
fullGCPause; 0.27; s
fullGCPausePc; 2.8; %
gcPause; 9.46; s
gcPausePc; 97.2; %
footprint; 2,218; M
freedMemory; 25,386; M
throughput; 86.42; %
totalTime; 71; s
freedMemoryPerMin; 21,248.045; M/min
gcPerformance; 2,449.584; M/s
fullGCPerformance; 8,075.935; M/s
