gcLogFile; g1gc_pause50.log; -
totalHeapAllocMax; 248; M
totalHeapUsedMax; 147; M
totalHeapUsedMaxpc; 59.3; %
totalTenuredAllocMax; 0; B
totalTenuredUsedMax; 0; B
totalTenuredUsedMaxpc; NaN; %
totalYoungAllocMax; 0; B
totalYoungUsedMax; 0; B
totalYoungUsedMaxpc; NaN; %
totalPermAllocMax; 0; B
totalPermUsedMax; 0; B
totalPermUsedMaxpc; NaN; %
avgfootprintAfterFullGC; 25; M
avgfootprintAfterFullGCσ; 0; B
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 140; M
freedMemoryByFullGCpc; 40.8; %
avgFreedMemoryByFullGC; 46.667; M/coll
avgFreedMemoryByFullGCσ; 19.858; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; 0; B/s
avgRelativePostFullGCInc; 0; B/coll
avgfootprintAfterGC; 3,276.8; K
avgfootprintAfterGCσ; 457.947; K
avgfootprintAfterGCisSig; true; bool
slopeAfterGC; 1,462.628; K/s
avgRelativePostGCInc; 204.8; K/coll
freedMemoryByGC; 203; M
freedMemoryByGCpc; 59.2; %
avgFreedMemoryByGC; 40.6; M/coll
avgFreedMemoryByGCσ; 57.739; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; -42,572,186; B
promotionTotal; -212,860,928; B
pauseCount; 8; -
avgPauseIsSig; false; bool
avgPause; 0.01342; s
avgPauseσ; 0.01565; s
minPause; 0.00123; s
maxPause; 0.037; s
gcPauseCount; 5; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.00231; s
avgGCPauseσ; 0.00111; s
fullGcPauseCount; 3; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 0.03194; s
avgFullGCPauseσ; 0.00565; s
minFullGCPause; 0.02584; s
maxFullGCPause; 0.037; s
accumPause; 0.11; s
fullGCPause; 0.1; s
fullGCPausePc; 89.3; %
gcPause; 0.01; s
gcPausePc; 10.7; %
footprint; 248; M
freedMemory; 343; M
throughput; 93.93; %
totalTime; 1; s
freedMemoryPerMin; 11,633.823; M/min
gcPerformance; 17,606.245; M/s
fullGCPerformance; 1,461.073; M/s
